PRICE,BEDS,BATH,PROPERTYSQFT
650000,6,2,2310
1100000,1,2,890
2649000,5,4,4050
849000,2,1,800
6500000,2,2,2184.207862
560000,3,1,550
1100000,1,2,890
2649000,5,4,4050
849000,2,1,800
418888,2,1,900
2600000,3,3,3978
899000,8,2,2160
979000,8,3,2860
199000,1,1,2184.207862
815000,3,1,2184.207862
1025000,1,1,800
1375000,1,2,920
875000,3,2,1437
1350000,6,3,3000
989000,7,3,2184.207862
815156,4,4,2945
1949000,3,5,2560
669000,5,2,1893
900500,4,2,2184.207862
1465000,3,3,2184.207862
899000,3,1,1100
1100000,1,1,726
1199000,6,5,2184.207862
325000,2,1,2184.207862
599000,4,3,1176
1230000,4,3,2184.207862
3950000,3,3,2184.207862
1350000,10,5,3383
799000,5,3,1800
1599000,5,3,5600
1299900,4,4,2755
370000,1,1,2184.207862
3225,3,1,2184.207862
3649000,3,2,2184.207862
860000,5,3,2324
765000,3,4,2205
259000,1,1,750
1500000,8,3,3135
850000,2,2,1005
2494,2,1,2184.207862
99000,1,1,2184.207862
535000,1,1,750
849998,4,2,2342
1100000,2,2,2184.207862
998000,5,3,1574
1500000,3,2,2184.207862
875000,6,3,2860
2350000,1,2,1144
850000,5,2,1908
4000000,3,2.3738608579684373,2248
1200000,3,2,2184.207862
12000000,4,4,3809
1300000,2,2,2184.207862
799000,3,1,585
339000,3,1,250
875000,7,5,2680
799000,7,2,2296
799000,7,2,2296
285000,2,1,1380
2499000,5,4,1340
795000,4,2,1440
1799995,2,2,2184.207862
250000,3,2.3738608579684373,1224
5999000,3,3,3000
668000,3,2,1606
699900,3,2,1470
5295000,4,4,4600
2265000,2,2,1123
459000,2,1,950
1369000,4,2.3738608579684373,2900
879000,4,2,2184.207862
559000,1,1,679
869888,4,3,2184.207862
799888,3,2,2184.207862
749000,4,1,1040
499000,2,3,2184.207862
1295000,3,4,2193
879900,3,2,2242
400000,2,2,1150
699999,6,2.3738608579684373,2184.207862
289000,1,1,666
699000,1,1,616
5800,3,2.3738608579684373,2184.207862
479000,6,2,3100
1355000,2,2,1002
1225000,2,2,882
9999000,4,6,4531
105000,3,1,656
300000,3,1,952
799000,5,3,2400
202000,2,1,1453
720000,3,2,1430
600000,5,2,2184.207862
599000,3,1,1200
235000,2,1,860
319000,3,1,960
950000,12,6,2184.207862
1088888,4,2,2184.207862
1250000,4,4,3300
650000,3,2.3738608579684373,2184.207862
774888,3,2,960
105509,1,1,650
995000,5,2,2184.207862
995000,5,2,2184.207862
769000,4,2,1728
395995,2,1,1100
975000,1,2,900
499999,2,1,1744
1649000,2,2,2184.207862
365000,2,1,2184.207862
748999,3,2,1620
635000,3,2,2184.207862
149000,3,1,400
1099000,5,2,1760
3950000,3,2.3738608579684373,2184.207862
1529999,6,5,2400
675000,3,1,1404
2650000,6,6,2184.207862
420000,3,1,2184.207862
2999950,3,2.3738608579684373,2184.207862
559900,3,2,980
549000,3,1,2184.207862
999000,3,2,950
289000,3,2.3738608579684373,2184.207862
790000,3,2.3738608579684373,2184.207862
2295000,7,4,3632
1150000,3,4,3000
13995000,7,2.3738608579684373,9026
6100000,3,2.3738608579684373,2184.207862
350000,3,2.3738608579684373,2184.207862
450000,3,2.3738608579684373,2184.207862
2999999,3,2.3738608579684373,2184.207862
2500000,3,2.3738608579684373,2184.207862
350000,3,2.3738608579684373,2184.207862
150000,3,2.3738608579684373,2184.207862
3600000,3,2.3738608579684373,2184.207862
150000,3,2.3738608579684373,2184.207862
235000,3,2,1400
199000,3,2.3738608579684373,2184.207862
2000000,3,2.3738608579684373,2184.207862
2200000,3,2.3738608579684373,2184.207862
650000,3,2.3738608579684373,2184.207862
149000,3,2.3738608579684373,2184.207862
215000,4,2,2000
799999,3,2.3738608579684373,2184.207862
299000,5,2,2184.207862
265000,3,2.3738608579684373,2184.207862
795000,3,2.3738608579684373,2184.207862
1245000,3,2.3738608579684373,2184.207862
549000,3,2.3738608579684373,2184.207862
7495000,4,4,2888
2850000,4,4,4080
215000,2,2,747
299000,3,2.3738608579684373,2184.207862
275000,2,1,1104
898000,6,3,2100
275000,2,1,900
599000,4,2,1682
189000,1,1,730
678990,3,3,1575
800000,3,2,1824
549000,3,2,1092
849000,3,2,2000
675000,3,2.3738608579684373,2184.207862
130000,3,2.3738608579684373,664
759999,4,2,2184.207862
489000,2,1,978
799900,5,2,1750
295000,3,1,2184.207862
159000,2,1,1010
999500,3,2,1144
589000,3,2,2310
329000,2,1,850
799000,3,2,1881
1188000,4,2,1580
729000,3,2,1400
614900,3,2,1495
599000,4,2,1500
950000,6,2,2184.207862
11000000,5,2.3738608579684373,2184.207862
348000,3,2.3738608579684373,2184.207862
965000,3,1,540
1095000,4,4,2280
2295000,2,2,1242
13500000,5,7,2184.207862
49500,3,2.3738608579684373,800
460000,3,3,2256
825000,12,6,2184.207862
1230250,3,2,1590
799999,3,2,1344
259500,2,1,2184.207862
1300000,15,6,4920
749000,2,2,1300
265000,2,1,660
575000,2,1,900
849000,4,2,2180
875000,2,2,1214
599999,3,2,1360
1150000,5,3,2184.207862
1188000,4,2.3738608579684373,3840
579900,3,2.3738608579684373,2640
1295000,4,3,2440
250000,3,1,1376
1395000,3,2.3738608579684373,2184.207862
1648000,3,4,1751
1675000,4,5,2184.207862
950000,3,2,1748
449500,1,1,2184.207862
184888,3,1,500
399000,3,1,500
209000,1,1,1078
280000,3,2,1100
625000,3,2,2184.207862
275000,3,1,2184.207862
924800,4,3,2049
1300000,6,4,2112
995000,5,2,2288
16500000,5,4,4105
695000,3,2.3738608579684373,1793
16500000,5,4,4105
695000,3,2.3738608579684373,1793
998000,5,3,1738
899000,7,3,1980
849000,6,5,2184.207862
235000,3,1,2184.207862
399999,2,1,2184.207862
520000,4,2,1701
485000,3,2,2184.207862
215000,3,1,1100
1288000,6,5,2640
270000,2,2,900
375000,2,2,1200
565000,1,1,2184.207862
849000,4,3,2184.207862
199000,2,1,2184.207862
5500000,8,6,9000
899000,4,2.3738608579684373,2184.207862
699000,3,2,2350
27750000,7,8,8139
739000,3,1,1148
425000,3,2,1700
300000,2,1,900
569000,3,3,1780
789000,5,3,1273
10500000,3,3,2753
350000,2,1,825
5895000,8,5,6312
1250000,7,4,2184.207862
1499999,4,2,2264
1488000,6,2,2184.207862
285000,3,2.3738608579684373,2184.207862
699000,3,3,2184.207862
924900,3,2,1404
560000,4,2,2318
1998000,12,8,5100
309000,3,2,2184.207862
925000,4,2.3738608579684373,2160
999000,4,2,2184.207862
699000,2,2,833
278500,2,1,2184.207862
738000,3,2,2184.207862
900000,4,4,2700
369000,1,1,1470
609000,3,2,1620
758000,3,2,1278
728000,3,2,1890
314900,3,3,1200
2848000,6,2.3738608579684373,4443
1298000,3,2,2046
1095000,4,4,2500
434900,3,2,1286
375000,2,2,1350
1375000,14,8,6000
4680000,3,4,2400
549000,2,2,1200
549000,3,1,1400
950000,3,2,1520
388000,3,1,2184.207862
5600000,6,6,4917
1600000,8,6,3472
6995000,5,2.3738608579684373,3912
1399000,6,2,2184.207862
399000,3,2.3738608579684373,1350
529900,1,1,630
999000,5,2,2184.207862
575000,2,2,2184.207862
659900,3,4,2184.207862
2200000,6,3,2385
898888,5,2,1550
1250000,5,4,3427
1188000,3,2,2240
869999,5,3,2080
219000,3,1,1050
210000,3,2.3738608579684373,1840
799000,6,2,2184.207862
298000,3,2,1100
1248888,4,4,3500
1075000,2,2,955
1695000,2,2,1572
3795000,3,2,1887
550000,2,2,2184.207862
775000,3,1,2184.207862
249900,2,2,800
650000,4,1,1152
410000,1,1,2184.207862
1650000,9,5,4320
1600000,2,2,1100
325000,2,1,2184.207862
275000,2,1,900
700000,3,2,1620
930000,3,2,2184.207862
379000,1,2,704
1150000,3,2.3738608579684373,1376
568888,3,2,1100
1200000,4,3,2052
899900,3,3,2550
799999,3,2,1200
300000,3,4,2184.207862
750000,4,3,3098
669999,4,2,1196
575000,2,1,1200
299000,3,1,2184.207862
548800,3,4,1440
28500000,7,9,12300
259000,2,1,2184.207862
425000,2,1,2184.207862
950000,4,2,2200
185000,2,1,600
1688888,4,3,2364
259000,2,1,2184.207862
950000,4,2,2200
1688888,4,3,2364
689000,6,3,2184.207862
419000,2,1,2184.207862
1199000,4,2,2184.207862
2150000,4,2.3738608579684373,2184.207862
899000,3,4,2208
675000,3,2,2184.207862
875000,2,1,2184.207862
899000,2,1,1130
219000,2,1,2184.207862
120000,2,1,600
470000,2,1,2184.207862
229000,2,1,950
3000000,3,32,11760
1199000,5,4,2184.207862
1498000,9,8,2961
2000000,4,3,2000
50000000,6,6,6569
550000,3,2,2184.207862
499000,3,1,1176
800000,6,3,2202
239000,2,1,798
29950000,10,13,8750
674999,3,2,1440
14000000,5,2.3738608579684373,7200
1228000,3,2,950
880000,4,4,2400
369888,2,2,2184.207862
500000,2,2,2184.207862
499000,4,3,2184.207862
2998888,5,2.3738608579684373,3800
175849,2,1,850
499000,3,2,1445
899975,6,3,1952
1474000,4,2,2050
2750000,6,5,6300
3999000,3,2.3738608579684373,3428
1288000,4,2,1700
499000,4,2,1428
989000,4,4,2400
650000,3,2,2184.207862
1999999,4,4,4803
5990000,4,4,3750
1235000,3,2,2184.207862
785000,1,1,2184.207862
750000,3,2,1750
1400000,3,3,2184.207862
865000,6,3,2464
324000,1,1,2184.207862
1100000,3,4,3750
2295000,3,7,2184.207862
8950000,4,2,2570
1348888,3,4,2450
220000,2,1,850
185000,1,1,2184.207862
499000,2,2,1350
999999,4,3,1980
4995000,2,2,2000
700000,2,1,2184.207862
1180000,4,4,1820
609000,2,2,2184.207862
250000,2,1,950
689000,3,2,2184.207862
585000,4,2,2184.207862
109500,3,1,550
299000,3,1,640
995000,3,2,1987
1499000,6,2,3144
299000,2,1,2184.207862
279000,3,1,550
235000,3,2,2184.207862
17900000,6,4,2184.207862
950000,5,3,2288
859000,2,2,950
1999000,5,4,2000
1458888,8,2.3738608579684373,2988
650000,5,3,2184.207862
1100000,4,3,1400
478900,1,1,554
2795000,2,2,965
560000,5,2,2624
868000,3,4,2024
999000,3,2,2184.207862
1590000,5,6,2184.207862
149000,1,1,375
594900,4,2,1355
799000,3,2,2184.207862
985000,6,5,2184.207862
685000,4,2,2625
479888,3,2,1188
2500000,3,2.3738608579684373,2184.207862
355000,1,1,514
260000,2,1,2184.207862
2600000,5,5,4057
2500000,3,2.3738608579684373,2184.207862
220000,1,1,2184.207862
489000,2,2,1549
1288000,5,2,2375
200000,2,3,1260
625000,3,1,2184.207862
2245000,2,3,1724
899000,3,2,2184.207862
575000,4,2,1330
588888,4,2,1640
650000,6,2.3738608579684373,2184.207862
899999,8,4,2184.207862
315000,1,1,850
1599999,6,2.3738608579684373,4073
10000000,5,2.3738608579684373,5660
825000,4,2,2230
795000,3,3,1860
690000,3,2,1325
1249949,4,4,2720
799000,4,3,2184.207862
115000,3,1,2184.207862
2088000,4,4,2394
699000,2,2,1766
119000,1,1,650
1275000,5,3,2184.207862
410000,2,2,2184.207862
309900,2,1,900
435000,3,2,1034
879000,3,3,2184.207862
325000,3,1,622
1195000,16,8,2184.207862
1900000,3,2,2200
868000,3,2,2184.207862
1770000,7,4,2184.207862
899000,5,3,1480
990000,2,2,960
818000,3,3,2184.207862
409000,4,2,2184.207862
679000,3,2,1474
259000,1,1,2184.207862
850000,6,3,2280
8750000,6,6,6000
495000,2,2,953
825000,2,1,800
1075000,4,2,1800
1950000,5,4,4000
6800000,7,2.3738608579684373,5130
7999000,20,10,2184.207862
578000,2,2,900
8995000,5,4,4373
629000,3,2,1360
329900,2,2,993
1788888,4,4,2184.207862
899000,5,2,2184
2150000,3,1,750
1290000,3,2,2905
109000,1,1,2184.207862
545000,6,3,1344
307000,2,1,960
595000,1,1,750
1088888,5,4,2452
650000,3,2,1912
4380000,35,16,15000
949999,5,3,1740
879000,4,2,1998
850000,6,4,2886
675000,2,2,1200
199000,2,1,900
395000,3,1,430
